index,周次,星期,角色,模块,模块形成任务,主日统领主题,本日主题,经文出处,本周一句话,每日一句,精简日标题,每日门训正文,和合本经文全文,门训步骤,思考入口,思考引导,生活导向,经文关键词（候选）,选择区目标,今日操练,七日总结/宣告,内容状态,备注
170,25,周二,深入省察,模块3｜活在群体中,从个人跟随进入教会关系与共同生活,这样的教会,这样的教会 · 周二省察,林前12：12-27,教会不是参加活动，而是一起学习、一起祷告、一起承担；今天进入一次真实的群体生活。,诚实面对关于“面对孤立、旁观和只接受不承担”的内在反应。,周二,门徒训练不仅改变行为，也改变里面的动机。读 哥林多前书 12:12-27，认真面对“不要先批评自己，也不要替自己辩护；诚实辨认背后的欲望、惧怕、骄傲或不信，并把它带到主面前。”。当你察觉到防卫、焦虑、比较或自我保护时，不要赶快掩盖。把那个最真实的反应写下来，求主带你从看见走向悔改与信靠。,,省察｜先面对里面真实的反应,我为什么会在“面对孤立、旁观和只接受不承担”上有这样的反应？,不要先批评自己，也不要替自己辩护；诚实辨认背后的欲望、惧怕、骄傲或不信，并把它带到主面前。,今天诚实面对一个关于“面对孤立、旁观和只接受不承担”的内在反应，不用属灵话语遮盖它。,这样的教会｜周二省察｜你是否觉得在｜教会中自己是,我最接近的状态｜愿意面对｜有点抗拒｜容易解释自己｜需要别人陪伴,今天安静5分钟，不为自己辩解，只写下“面对孤立、旁观和只接受不承担”引出的一个惧怕、欲望或惯性，然后用一句祷告交给主。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
171,25,周三,生活应用,模块3｜活在群体中,从个人跟随进入教会关系与共同生活,这样的教会,这样的教会 · 周三应用,来10：19-25,教会不是参加活动，而是一起学习、一起祷告、一起承担；今天进入一次真实的群体生活。,把“主动参加一个真实的群体行动”放进一个具体决定，用一个小行动回应经文。,周三,今天把经文缩小成一个选择。读 希伯来书 10:19-25，问自己：不要追求大改变，只走清楚的一步。。不要设计一个很大的计划，只找一个今天能完成的小行动。门徒的成长常常发生在普通时间、普通决定和普通责任里。选定时间点去做，完成后再回看它带来了什么改变。,,行动｜把经文落到一个今天能做的选择,今天我可以怎样把“主动参加一个真实的群体行动”做出来？,把原则缩小到今天：一个时间点、一个决定、一个动作就够。不要追求大改变，只走清楚的一步。,今天把“主动参加一个真实的群体行动”放进一个具体决定，用一个小行动回应经文。,这样的教会｜周三应用｜今天你如何｜不可停止聚会,我的行动准备度｜现在就能做｜需要一点计划｜需要别人提醒｜暂时还没想到,今天安排一个明确时间点，把“主动参加一个真实的群体行动”变成一个10分钟以内的行动，并在完成后记下一个结果。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
172,25,周四,关系实践,模块3｜活在群体中,从个人跟随进入教会关系与共同生活,这样的教会,这样的教会 · 周四关系,徒2：44-47,教会不是参加活动，而是一起学习、一起祷告、一起承担；今天进入一次真实的群体生活。,让“分享时间、物质与需要”发生在一个真实关系里。,周四,门徒生命一定会影响人与人的相处。读 使徒行传 2:44-47，问自己：想起一个具体的人，不停留在抽象的“爱人”；问自己：我可以听什么、说什么、给什么、承担什么？。选一个具体的人，少一点自我证明，多一点靠近与承担。你今天不需要解决这段关系的全部问题，只需要完成一个真实而善意的动作，并留意自己的心发生了什么。,,关系｜把跟随放进真实的人际关系,今天哪个关系最需要让我实践“分享时间、物质与需要”？,想起一个具体的人，不停留在抽象的“爱人”；问自己：我可以听什么、说什么、给什么、承担什么？,今天让“分享时间、物质与需要”发生在一个真实关系里，而不是停留在个人感受中。,这样的教会｜周四关系｜今天你可以与｜凡物公用,我在关系中的状态｜愿意主动｜想保持距离｜正在修复｜不知道怎么开口,今天选定一位具体的人，用一个可见动作实践“分享时间、物质与需要”：主动联系、倾听、帮助、道歉、分享或代祷，六选一。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
173,25,周五,行动承诺,模块3｜活在群体中,从个人跟随进入教会关系与共同生活,这样的教会,这样的教会 · 周五行动,雅5：13-16,教会不是参加活动，而是一起学习、一起祷告、一起承担；今天进入一次真实的群体生活。,让一个真实行动显出“彼此代求并承担一项服事”正在改变我。,周五,回应就是把领受交在行动里。读 雅各书 5:13-16，思想“用实际行动回应主的差遣。”对今天意味着什么。选择一个具体行动，并为它安排明确的时间。做完不要急着评估自己，而是回头看：我是否更愿意跟随？神又让我看见了什么？,,回应｜从跟随走向见证与承担,如果我真的相信“彼此代求并承担一项服事”，今天会有什么不同？,把信仰从个人感受带向承担：选择一个人、一个场景或一项责任，用实际行动回应主的差遣。,今天让别人能够从我的一个真实行动，看见“彼此代求并承担一项服事”正在改变我。,这样的教会｜周五行动｜今天你如何实｜互相代求,我的回应状态｜已经确定一步｜正在寻找机会｜有惧怕｜需要同伴同行,今天把“彼此代求并承担一项服事”带到一个真实的承担中：完成一次见证、服事、给予、修复关系或承担责任，并记录发生了什么。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
174,25,周六,轻回顾,模块3｜活在群体中,从个人跟随进入教会关系与共同生活,这样的教会,回顾本周：这样的教会,诗23：1-6,教会不是参加活动，而是一起学习、一起祷告、一起承担；今天进入一次真实的群体生活。,回头看这一周：经文让我看见了什么，我真正走了哪一步？,周六,今天是回顾的一天。读 诗篇 23:1-6，回头看这一周，特别整理：不要只评价自己“做得好不好”，而是辨认：神让我看见了什么？我实际做了什么？下一步要继续什么？。不要只问“我做得好不好”，而要问三件事：神让我看见什么？我实际做了什么？下一步要继续什么？把一个真实学习写下来，再把下一步写成下周可以执行的动作。,,回顾｜看见本周发生了什么，并确定下一步,回头看七天，我在哪里真实经历了“回顾自己从消费者走向参与者了吗”？,不要只评价自己“做得好不好”，而是辨认：神让我看见了什么？我实际做了什么？下一步要继续什么？,今天从经历而不是感觉回顾“回顾自己从消费者走向参与者了吗”，辨认神的工作与下一步。,回顾本周｜这样的教会｜这周你经历最｜多的是什么,本周最接近我的状态｜有真实改变｜有看见但未落实｜正在挣扎｜准备重新开始,今天用10分钟完成本周回顾：写下“神让我看见什么／我实际做了什么／下一步继续什么”，并把下一步写成一个下周可执行的动作。,本周总结｜主题“这样的教会”。回顾“活出使徒行传式的群体—回顾自己从消费者走向参与者了吗”：神让我看见______；我实际回应了______；下一步我要继续______。｜宣告：主仍在带领我，我愿继续跟随。,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
175,26,主日,主日信息入口,模块3｜活在群体中,从个人跟随进入教会关系与共同生活,没有人缺乏,没有人缺乏,徒4：32-37,在基督的身体里彼此顾念，今天留意一个人的缺乏，并用实际行动回应。,在基督的身体里彼此顾念，今天留意一个人的缺乏，并用实际行动回应。,主日,今天是新一周的起点。读 使徒行传 4:32-37，先观察经文如何把我们带到“没有人缺乏”。留意主怎样带你从认识走向跟随。。不要要求自己一次改变很多，只需要认出一个最真实的回应方向，并为接下来的六天留下一个可以反复操练的生活位置。,,进入｜从主日信息进入本周,本周，我最需要面对的是：“在主里没有人缺乏”,先不急着回答，把主日经文放进你的生活：在主里没有人缺乏。留意主怎样带你从认识走向跟随。,本周不追求抽象改变，只在一个真实生活场景中练习“在主里没有人缺乏”。,没有人缺乏｜今天最触动你｜的是什么｜同心,今天最触动我的状态｜很有共鸣｜有一点挣扎｜还不清楚｜愿意开始,用3分钟写下本周回应：“主啊，在在主里没有人缺乏上，我愿意跟随你。”再选定一个本周每天都可以提醒自己的具体场景。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
176,26,周一,拓宽眼界,模块3｜活在群体中,从个人跟随进入教会关系与共同生活,没有人缺乏,没有人缺乏 · 周一默想,申15：7-11,在基督的身体里彼此顾念，今天留意一个人的缺乏，并用实际行动回应。,留意“从所有权转向管家身份”在我的选择、情绪或习惯中如何出现。,周一,今天不急着得到“正确答案”，而是练习观察。读 申命记 15:7-11，留意“再问自己：我今天在哪里正在经历同样的事？（经文：没有人缺乏 · 周一默想）”怎样显现在经文里，也怎样可能出现在你今天的生活中。选择一个固定场景停一分钟，看见自己真实的反应，并把它带到主面前。,,看见｜先看见经文与自己的处境,经文怎样让我看见“从所有权转向管家身份”？,先观察经文中的人物、行动和张力，再问自己：我今天在哪里正在经历同样的事？（经文：没有人缺乏 · 周一默想）,今天先看见，不急着改变；留意“从所有权转向管家身份”在我的选择、情绪或习惯中如何出现。,没有人缺乏｜周一默想｜在神眼中｜没有穷乏人,今天我的状态｜已经看见｜有些模糊｜容易忽略｜愿意留意,今天选一个固定场景（通勤、工作、吃饭或睡前），停下来1分钟，记录一次“从所有权转向管家身份”在自己身上的真实表现。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
177,26,周二,深入省察,模块3｜活在群体中,从个人跟随进入教会关系与共同生活,没有人缺乏,没有人缺乏 · 周二省察,太19：16-22,在基督的身体里彼此顾念，今天留意一个人的缺乏，并用实际行动回应。,诚实面对关于“面对舍不得、比较与不信任”的内在反应。,周二,今天从外在经文转向内在生命。读 马太福音 19:16-22，诚实面对：不要先批评自己，也不要替自己辩护；诚实辨认背后的欲望、惧怕、骄傲或不信，并把它带到主面前。。不要先解释自己，也不要急着定罪自己。试着辨认这个反应背后更深的欲望、惧怕、骄傲或不信。省察不是自责，而是在神面前停止遮掩，愿意让主触碰真实的自己。,,省察｜先面对里面真实的反应,我为什么会在“面对舍不得、比较与不信任”上有这样的反应？,不要先批评自己，也不要替自己辩护；诚实辨认背后的欲望、惧怕、骄傲或不信，并把它带到主面前。,今天诚实面对一个关于“面对舍不得、比较与不信任”的内在反应，不用属灵话语遮盖它。,没有人缺乏｜周二省察｜你是否｜产业很多,我最接近的状态｜愿意面对｜有点抗拒｜容易解释自己｜需要别人陪伴,今天安静5分钟，不为自己辩解，只写下“面对舍不得、比较与不信任”引出的一个惧怕、欲望或惯性，然后用一句祷告交给主。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
178,26,周三,生活应用,模块3｜活在群体中,从个人跟随进入教会关系与共同生活,没有人缺乏,没有人缺乏 · 周三应用,路3：10-14,在基督的身体里彼此顾念，今天留意一个人的缺乏，并用实际行动回应。,把“在资源使用上作一次调整”放进一个具体决定，用一个小行动回应经文。,周三,今天让“知道”变成“去做”。读 路加福音 3:10-14，思考“不要追求大改变，只走清楚的一步。”在你的现实处境中最小的下一步是什么。把行动限定在十分钟左右，越具体越好。做完后记下一句话：我做了什么？有什么阻力？主让我看见什么？,,行动｜把经文落到一个今天能做的选择,今天我可以怎样把“在资源使用上作一次调整”做出来？,把原则缩小到今天：一个时间点、一个决定、一个动作就够。不要追求大改变，只走清楚的一步。,今天把“在资源使用上作一次调整”放进一个具体决定，用一个小行动回应经文。,没有人缺乏｜周三应用｜今天你可以｜分给,我的行动准备度｜现在就能做｜需要一点计划｜需要别人提醒｜暂时还没想到,今天安排一个明确时间点，把“在资源使用上作一次调整”变成一个10分钟以内的行动，并在完成后记下一个结果。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
179,26,周四,关系实践,模块3｜活在群体中,从个人跟随进入教会关系与共同生活,没有人缺乏,没有人缺乏 · 周四关系,林后8：1-5,在基督的身体里彼此顾念，今天留意一个人的缺乏，并用实际行动回应。,让“主动分享时间、金钱或物品”发生在一个真实关系里。,周四,今天观察自己怎样对待别人，也让经文重新整理这种关系。读 哥林多后书 8:1-5，围绕“想起一个具体的人，不停留在抽象的“爱人”；问自己：我可以听什么、说什么、给什么、承担什么？”作一个具体决定。找一个人，主动走近一步；可以是一句话、一次倾听、一次帮助或一次代祷。真实关系中的小小顺服，就是门徒训练的一部分。,,关系｜把跟随放进真实的人际关系,今天哪个关系最需要让我实践“主动分享时间、金钱或物品”？,想起一个具体的人，不停留在抽象的“爱人”；问自己：我可以听什么、说什么、给什么、承担什么？,今天让“主动分享时间、金钱或物品”发生在一个真实关系里，而不是停留在个人感受中。,没有人缺乏｜周四关系｜今天你可以像｜马其顿教会一,我在关系中的状态｜愿意主动｜想保持距离｜正在修复｜不知道怎么开口,今天选定一位具体的人，用一个可见动作实践“主动分享时间、金钱或物品”：主动联系、倾听、帮助、道歉、分享或代祷，六选一。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
180,26,周五,行动承诺,模块3｜活在群体中,从个人跟随进入教会关系与共同生活,没有人缺乏,没有人缺乏 · 周五行动,约一3：17-18,在基督的身体里彼此顾念，今天留意一个人的缺乏，并用实际行动回应。,让一个真实行动显出“把帮助落实给一位真实有需要的人”正在改变我。,周五,今天来到回应与承担。读 约翰一书 3:17-18，问自己：用实际行动回应主的差遣。。把信仰从个人感受带向一个具体的人、一项责任或一个见证行动。不要追求被看见，只求忠心。完成之后写下发生了什么，让你自己的行动成为一个可以被回顾、也可以被分享的见证。,,回应｜从跟随走向见证与承担,如果我真的相信“把帮助落实给一位真实有需要的人”，今天会有什么不同？,把信仰从个人感受带向承担：选择一个人、一个场景或一项责任，用实际行动回应主的差遣。,今天让别人能够从我的一个真实行动，看见“把帮助落实给一位真实有需要的人”正在改变我。,没有人缺乏｜周五行动｜今天你如何｜用行动,我的回应状态｜已经确定一步｜正在寻找机会｜有惧怕｜需要同伴同行,今天把“把帮助落实给一位真实有需要的人”带到一个真实的承担中：完成一次见证、服事、给予、修复关系或承担责任，并记录发生了什么。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
181,26,周六,轻回顾,模块3｜活在群体中,从个人跟随进入教会关系与共同生活,没有人缺乏,回顾本周：没有人缺乏,诗23：1-6,在基督的身体里彼此顾念，今天留意一个人的缺乏，并用实际行动回应。,回头看这一周：经文让我看见了什么，我真正走了哪一步？,周六,读 诗篇 23:1-6，安静回看这七天的经历：哪些地方有顺服，哪些地方仍在挣扎，哪里看见神的带领？特别思考“不要只评价自己“做得好不好”，而是辨认：神让我看见了什么？我实际做了什么？下一步要继续什么？”。今天把本周浓缩成“一个看见、一个行动、一个下一步”，让回顾成为继续跟随的桥梁。,,回顾｜看见本周发生了什么，并确定下一步,回头看七天，我在哪里真实经历了“回顾资源是否更愿意流向别人”？,不要只评价自己“做得好不好”，而是辨认：神让我看见了什么？我实际做了什么？下一步要继续什么？,今天从经历而不是感觉回顾“回顾资源是否更愿意流向别人”，辨认神的工作与下一步。,回顾本周｜没有人缺乏｜这周你经历最｜多的是什么,本周最接近我的状态｜有真实改变｜有看见但未落实｜正在挣扎｜准备重新开始,今天用10分钟完成本周回顾：写下“神让我看见什么／我实际做了什么／下一步继续什么”，并把下一步写成一个下周可执行的动作。,本周总结｜主题“没有人缺乏”。回顾“在主里没有人缺乏—回顾资源是否更愿意流向别人”：神让我看见______；我实际回应了______；下一步我要继续______。｜宣告：主仍在带领我，我愿继续跟随。,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
182,27,主日,主日信息入口,模块3｜活在群体中,从个人跟随进入教会关系与共同生活,服事也需要治理,服事也需要治理,徒6：1-7,服事既需要爱也需要治理，今天把一项混乱的责任处理清楚，好让人得到照顾。,服事既需要爱也需要治理，今天把一项混乱的责任处理清楚，好让人得到照顾。,主日,今天把经文放在心里，也把自己放在经文面前。读 使徒行传 6:1-7，围绕“服事也需要治理”安静片刻，思想：留意主怎样带你从认识走向跟随。。主日不是结束，而是进入本周门训的起点。今天选定一个具体场景，提醒自己在这一周继续回来面对这个主题。,,进入｜从主日信息进入本周,本周，我最需要面对的是：“服事需要属灵与实际治理”,先不急着回答，把主日经文放进你的生活：服事需要属灵与实际治理。留意主怎样带你从认识走向跟随。,本周不追求抽象改变，只在一个真实生活场景中练习“服事需要属灵与实际治理”。,服事也需要治｜今天最触动你｜的是什么｜怨言,今天最触动我的状态｜很有共鸣｜有一点挣扎｜还不清楚｜愿意开始,用3分钟写下本周回应：“主啊，在服事需要属灵与实际治理上，我愿意跟随你。”再选定一个本周每天都可以提醒自己的具体场景。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
183,27,周一,拓宽眼界,模块3｜活在群体中,从个人跟随进入教会关系与共同生活,服事也需要治理,服事也需要治理 · 周一默想,出18：13-27,服事既需要爱也需要治理，今天把一项混乱的责任处理清楚，好让人得到照顾。,留意“看见问题、角色与责任”在我的选择、情绪或习惯中如何出现。,周一,今天先学习看见。读 出埃及记 18:13-27，不要急着批评或解决问题，留意经文让你看见什么：再问自己：我今天在哪里正在经历同样的事？（经文：服事也需要治理 · 周一默想）。再回到自己的生活，观察一个真实反应、选择或习惯。门徒不是先表现得正确，而是先在神的光中看清楚自己。把今天看见的一件事记下来，作为后面回应的起点。,,看见｜先看见经文与自己的处境,经文怎样让我看见“看见问题、角色与责任”？,先观察经文中的人物、行动和张力，再问自己：我今天在哪里正在经历同样的事？（经文：服事也需要治理 · 周一默想）,今天先看见，不急着改变；留意“看见问题、角色与责任”在我的选择、情绪或习惯中如何出现。,服事也需要治｜周一默想｜分层的治理原｜则对今日教会,今天我的状态｜已经看见｜有些模糊｜容易忽略｜愿意留意,今天选一个固定场景（通勤、工作、吃饭或睡前），停下来1分钟，记录一次“看见问题、角色与责任”在自己身上的真实表现。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
184,27,周二,深入省察,模块3｜活在群体中,从个人跟随进入教会关系与共同生活,服事也需要治理,服事也需要治理 · 周二省察,林前14：26-33,服事既需要爱也需要治理，今天把一项混乱的责任处理清楚，好让人得到照顾。,诚实面对关于“省察控制、争功或逃避责任”的内在反应。,周二,今天给自己几分钟安静。读 哥林多前书 14:26-33，把经文所揭开的张力带回心里：不要先批评自己，也不要替自己辩护；诚实辨认背后的欲望、惧怕、骄傲或不信，并把它带到主面前。。问自己，我在什么地方正在重复同样的模式？不必马上找到解决方案，只需要说真话，并用一句简单的祷告把这份真实交给主。,,省察｜先面对里面真实的反应,我为什么会在“省察控制、争功或逃避责任”上有这样的反应？,不要先批评自己，也不要替自己辩护；诚实辨认背后的欲望、惧怕、骄傲或不信，并把它带到主面前。,今天诚实面对一个关于“省察控制、争功或逃避责任”的内在反应，不用属灵话语遮盖它。,服事也需要治｜周二省察｜你是否有｜混乱,我最接近的状态｜愿意面对｜有点抗拒｜容易解释自己｜需要别人陪伴,今天安静5分钟，不为自己辩解，只写下“省察控制、争功或逃避责任”引出的一个惧怕、欲望或惯性，然后用一句祷告交给主。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
185,27,周三,生活应用,模块3｜活在群体中,从个人跟随进入教会关系与共同生活,服事也需要治理,服事也需要治理 · 周三应用,提前3：1-7,服事既需要爱也需要治理，今天把一项混乱的责任处理清楚，好让人得到照顾。,把“把一项服事做得更有秩序”放进一个具体决定，用一个小行动回应经文。,周三,不要等到条件完美才回应经文。读 提摩太前书 3:1-7，找出一个可以立即开始的动作，回应“不要追求大改变，只走清楚的一步。”。今天只走一步，但要真的走。行动之后，用一分钟回顾结果，让经验成为下一次跟随的依据。,,行动｜把经文落到一个今天能做的选择,今天我可以怎样把“把一项服事做得更有秩序”做出来？,把原则缩小到今天：一个时间点、一个决定、一个动作就够。不要追求大改变，只走清楚的一步。,今天把“把一项服事做得更有秩序”放进一个具体决定，用一个小行动回应经文。,服事也需要治｜周三应用｜今天你如何在｜自己的岗位上,我的行动准备度｜现在就能做｜需要一点计划｜需要别人提醒｜暂时还没想到,今天安排一个明确时间点，把“把一项服事做得更有秩序”变成一个10分钟以内的行动，并在完成后记下一个结果。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
186,27,周四,关系实践,模块3｜活在群体中,从个人跟随进入教会关系与共同生活,服事也需要治理,服事也需要治理 · 周四关系,徒6：1-7,服事既需要爱也需要治理，今天把一项混乱的责任处理清楚，好让人得到照顾。,让“主动协调、分担并尊重角色”发生在一个真实关系里。,周四,今天把跟随带进一个人的名字。读 使徒行传 6:1-7，思想：想起一个具体的人，不停留在抽象的“爱人”；问自己：我可以听什么、说什么、给什么、承担什么？。想起一段真实关系，不停留在“我要更有爱心”的想法，而是决定一个看得见的动作：认真倾听、主动帮助、道歉、感谢、分享或代祷。让今天的经文通过你的关系被活出来。,,关系｜把跟随放进真实的人际关系,今天哪个关系最需要让我实践“主动协调、分担并尊重角色”？,想起一个具体的人，不停留在抽象的“爱人”；问自己：我可以听什么、说什么、给什么、承担什么？,今天让“主动协调、分担并尊重角色”发生在一个真实关系里，而不是停留在个人感受中。,服事也需要治｜周四关系｜今天你可以如｜派他们管理这,我在关系中的状态｜愿意主动｜想保持距离｜正在修复｜不知道怎么开口,今天选定一位具体的人，用一个可见动作实践“主动协调、分担并尊重角色”：主动联系、倾听、帮助、道歉、分享或代祷，六选一。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
187,27,周五,行动承诺,模块3｜活在群体中,从个人跟随进入教会关系与共同生活,服事也需要治理,服事也需要治理 · 周五行动,路16：10-12,服事既需要爱也需要治理，今天把一项混乱的责任处理清楚，好让人得到照顾。,让一个真实行动显出“忠心处理一个小而重要的责任”正在改变我。,周五,今天的重点不是再多懂一点，而是愿意承担一步。读 路加福音 16:10-12，把“用实际行动回应主的差遣。”落实到现实生活。可以是一次服事、一次给予、一次修复关系、一次见证或一次责任。先忠心完成今天能做的，然后在神面前感谢祂的带领。,,回应｜从跟随走向见证与承担,如果我真的相信“忠心处理一个小而重要的责任”，今天会有什么不同？,把信仰从个人感受带向承担：选择一个人、一个场景或一项责任，用实际行动回应主的差遣。,今天让别人能够从我的一个真实行动，看见“忠心处理一个小而重要的责任”正在改变我。,服事也需要治｜周五行动｜今天你如何在｜小事,我的回应状态｜已经确定一步｜正在寻找机会｜有惧怕｜需要同伴同行,今天把“忠心处理一个小而重要的责任”带到一个真实的承担中：完成一次见证、服事、给予、修复关系或承担责任，并记录发生了什么。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
188,27,周六,轻回顾,模块3｜活在群体中,从个人跟随进入教会关系与共同生活,服事也需要治理,回顾本周：服事也需要治理,诗23：1-6,服事既需要爱也需要治理，今天把一项混乱的责任处理清楚，好让人得到照顾。,回头看这一周：经文让我看见了什么，我真正走了哪一步？,周六,回顾不是给自己打分，而是辨认神怎样工作。今天读 诗篇 23:1-6，整理你这一周在“不要只评价自己“做得好不好”，而是辨认：神让我看见了什么？我实际做了什么？下一步要继续什么？”上的经历。感谢已经发生的，也承认还没有改变的。最后写下一句本周总结，并确定一个可以带进下一周的小小行动。,,回顾｜看见本周发生了什么，并确定下一步,回头看七天，我在哪里真实经历了“回顾自己是否更可靠、更可合作”？,不要只评价自己“做得好不好”，而是辨认：神让我看见了什么？我实际做了什么？下一步要继续什么？,今天从经历而不是感觉回顾“回顾自己是否更可靠、更可合作”，辨认神的工作与下一步。,回顾本周｜服事也需要治｜这周你经历最｜多的是什么,本周最接近我的状态｜有真实改变｜有看见但未落实｜正在挣扎｜准备重新开始,今天用10分钟完成本周回顾：写下“神让我看见什么／我实际做了什么／下一步继续什么”，并把下一步写成一个下周可执行的动作。,本周总结｜主题“服事也需要治理”。回顾“服事需要属灵与实际治理—回顾自己是否更可靠、更可合作”：神让我看见______；我实际回应了______；下一步我要继续______。｜宣告：主仍在带领我，我愿继续跟随。,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
189,28,主日,主日信息入口,模块4｜进入使命,从群体生活进入服事、见证与普世使命,为万民蒙福,为万民蒙福,创12：1-3,神赐福不是让我们停在自己身上，而是使我们成为祝福；今天主动祝福一个人。,神赐福不是让我们停在自己身上，而是使我们成为祝福；今天主动祝福一个人。,主日,今天先慢下来。读 创世记 12:1-3，让“为万民蒙福”成为这一周共同的入口。不要急着把主日信息变成更多知识，先问：留意主怎样带你从认识走向跟随。。把这个问题放进你真实的生活，找出一个本周愿意跟随主的场景。主日的领受要进入一周的生活，才会成为门徒的道路。,,进入｜从主日信息进入本周,本周，我最需要面对的是：“成为万民蒙福的祝福”,先不急着回答，把主日经文放进你的生活：成为万民蒙福的祝福。留意主怎样带你从认识走向跟随。,本周不追求抽象改变，只在一个真实生活场景中练习“成为万民蒙福的祝福”。,为万民蒙福｜今天最触动你｜的是什么｜离开,今天最触动我的状态｜很有共鸣｜有一点挣扎｜还不清楚｜愿意开始,用3分钟写下本周回应：“主啊，在成为万民蒙福的祝福上，我愿意跟随你。”再选定一个本周每天都可以提醒自己的具体场景。,,V1.1｜第9–52周逐周具体内容已补全｜依据冻结版主题、每日经文与第1–8周确认的门训规则,本轮为内容制作稿；经文出处沿用冻结版，和合本全文与候选关键词仍须逐段核验。
